Date,location,actual
2021-01-03,1,0
2021-01-04,1,"4,541"
2021-01-05,1,"4,485"
2021-01-06,1,"4,169"
2021-01-07,1,"3,336"
2021-01-08,1,"3,095"
2021-01-09,1,0
2021-01-10,1,1
2021-01-11,1,"3,299"
2021-01-12,1,"3,709"
2021-01-13,1,"3,436"
2021-01-14,1,"3,215"
2021-01-15,1,"3,222"
2021-01-16,1,0
2021-01-17,1,0
2021-01-18,1,"2,877"
2021-01-19,1,"3,983"
2021-01-20,1,"3,419"
2021-01-21,1,"4,074"
2021-01-22,1,"3,159"
2021-01-23,1,0
2021-01-24,1,0
2021-01-25,1,"4,014"
2021-01-26,1,"3,407"
2021-01-27,1,"3,397"
2021-01-28,1,"3,587"
2021-01-29,1,"2,866"
2021-01-31,1,0
2021-02-01,1,"3,884"
2021-02-02,1,"3,830"
2021-02-03,1,"3,164"
2021-02-04,1,"3,656"
2021-02-05,1,"2,975"
2021-02-06,1,0
2021-02-07,1,0
2021-02-08,1,"3,324"
2021-02-09,1,"3,903"
2021-02-10,1,"3,636"
2021-02-11,1,"3,326"
2021-02-12,1,"3,433"
2021-02-13,1,0
2021-02-15,1,0
2021-02-16,1,"3,041"
2021-02-17,1,"3,975"
2021-02-18,1,"3,857"
2021-02-19,1,"3,319"
2021-02-20,1,0
2021-02-22,1,"2,611"
2021-02-23,1,"3,902"
2021-02-24,1,"3,236"
2021-02-25,1,"4,124"
2021-02-26,1,"3,241"
2021-02-27,1,0
2021-02-28,1,0
2021-03-01,1,"3,605"
2021-03-02,1,"3,812"
2021-03-03,1,"3,321"
2021-03-04,1,"3,071"
2021-03-05,1,"2,808"
2021-03-06,1,0
2021-03-07,1,0
2021-03-08,1,"3,309"
2021-03-09,1,"3,732"
2021-03-10,1,"3,223"
2021-03-11,1,"3,008"
2021-03-12,1,"2,971"
2021-03-13,1,0
2021-03-14,1,0
2021-03-15,1,"3,706"
2021-03-16,1,"3,692"
2021-03-17,1,"3,470"
2021-03-18,1,"3,083"
2021-03-19,1,"2,937"
2021-03-20,1,0
2021-03-21,1,0
2021-03-22,1,"3,422"
2021-03-23,1,"3,793"
2021-03-24,1,"3,333"
2021-03-25,1,"3,334"
2021-03-26,1,"2,912"
2021-03-27,1,0
2021-03-28,1,0
2021-03-29,1,"3,155"
2021-03-30,1,"3,551"
2021-03-31,1,"3,434"
2021-04-01,1,"3,191"
2021-04-02,1,0
2021-04-04,1,0
2021-04-05,1,"3,165"
2021-04-06,1,"3,550"
2021-04-07,1,"3,553"
2021-04-08,1,"3,013"
2021-04-09,1,"3,116"
2021-04-10,1,0
2021-04-12,1,"3,490"
2021-04-13,1,"3,511"
2021-04-14,1,"3,463"
2021-04-15,1,"3,227"
2021-04-16,1,"3,080"
2021-04-17,1,0
2021-04-19,1,"3,777"
2021-04-20,1,"3,811"
2021-04-21,1,"3,790"
2021-04-22,1,"3,386"
2021-04-23,1,"3,434"
2021-04-24,1,0
2021-04-26,1,"3,958"
2021-04-27,1,"3,659"
2021-04-28,1,"3,929"
2021-04-29,1,"3,810"
2021-04-30,1,"3,289"
2021-05-01,1,0
2021-05-03,1,"4,119"
2021-05-04,1,"3,872"
2021-05-05,1,"3,632"
2021-05-06,1,"3,886"
2021-05-07,1,"3,685"
2021-05-08,1,0
2021-05-10,1,"4,152"
2021-05-11,1,"4,109"
2021-05-12,1,"3,722"
2021-05-13,1,"3,578"
2021-05-14,1,"3,461"
2021-05-15,1,0
2021-05-17,1,"3,948"
2021-05-18,1,"3,973"
2021-05-19,1,"3,857"
2021-05-20,1,"3,648"
2021-05-21,1,"3,782"
2021-05-22,1,0
2021-05-24,1,0
2021-05-25,1,"4,554"
2021-05-26,1,"4,639"
2021-05-27,1,"4,235"
2021-05-28,1,"3,931"
2021-05-29,1,1
2021-05-31,1,"4,467"
2021-06-01,1,"4,241"
2021-06-02,1,"4,275"
2021-06-03,1,"3,850"
2021-06-04,1,"3,991"
2021-06-07,1,"4,311"
2021-06-08,1,"4,294"
2021-06-09,1,"4,105"
2021-06-10,1,"4,010"
2021-06-11,1,"3,694"
2021-06-12,1,1
2021-06-13,1,1
2021-06-14,1,"4,168"
2021-06-15,1,"3,910"
2021-06-16,1,"3,704"
2021-06-17,1,"3,655"
2021-06-18,1,"3,353"
2021-06-21,1,"3,520"
2021-06-22,1,"4,113"
2021-06-23,1,"3,514"
2021-06-24,1,"3,515"
2021-06-25,1,"3,101"
2021-06-28,1,"3,850"
2021-06-29,1,"3,432"
2021-06-30,1,"3,524"
2021-07-02,1,"3,683"
2021-07-04,1,0
2021-07-05,1,"4,491"
2021-07-06,1,"3,937"
2021-07-07,1,"3,508"
2021-07-08,1,"3,057"
2021-07-09,1,"3,414"
2021-07-12,1,"3,921"
2021-07-13,1,"3,898"
2021-07-14,1,"3,566"
2021-07-15,1,"2,939"
2021-07-16,1,"3,539"
2021-07-18,1,0
2021-07-19,1,"3,793"
2021-07-20,1,"3,217"
2021-07-21,1,"3,289"
2021-07-22,1,"3,038"
2021-07-23,1,"3,003"
2021-07-26,1,"3,565"
2021-07-27,1,"3,502"
2021-07-28,1,"3,296"
2021-07-29,1,"3,090"
2021-07-30,1,"3,055"
2021-08-03,1,"3,719"
2021-08-04,1,"3,471"
2021-08-05,1,"3,277"
2021-08-06,1,"3,047"
2021-08-08,1,0
2021-08-09,1,"3,454"
2021-08-10,1,"3,329"
2021-08-11,1,"2,999"
2021-08-12,1,"3,281"
2021-08-13,1,"3,043"
2021-08-16,1,"3,301"
2021-08-17,1,"3,561"
2021-08-18,1,"3,001"
2021-08-19,1,"2,849"
2021-08-20,1,"2,991"
2021-08-23,1,"3,216"
2021-08-24,1,"3,334"
2021-08-25,1,"2,957"
2021-08-26,1,"2,984"
2021-08-27,1,"2,940"
2021-08-30,1,"2,696"
2021-08-31,1,"3,370"
2021-09-01,1,"2,981"
2021-09-02,1,"2,763"
2021-09-03,1,"2,765"
2021-09-07,1,"2,949"
2021-09-08,1,"3,246"
2021-09-09,1,"2,962"
2021-09-10,1,"2,911"
2021-09-13,1,"3,145"
2021-09-14,1,"3,049"
2021-09-15,1,"2,942"
2021-09-16,1,"2,744"
2021-09-17,1,"2,642"
2021-09-20,1,"2,934"
2021-09-21,1,"3,228"
2021-09-22,1,"2,809"
2021-09-23,1,"2,722"
2021-09-24,1,"2,840"
2021-09-26,1,0
2021-09-27,1,"3,175"
2021-09-28,1,"3,326"
2021-09-29,1,"3,128"
2021-09-30,1,0
2021-10-01,1,"2,780"
2021-10-03,1,0
2021-10-04,1,"3,141"
2021-10-05,1,"3,642"
2021-10-06,1,"2,999"
2021-10-07,1,"3,359"
2021-10-08,1,"2,793"
2021-10-11,1,0
2021-10-12,1,"3,049"
2021-10-13,1,"3,632"
2021-10-14,1,"3,214"
2021-10-15,1,"3,033"
2021-10-18,1,"3,266"
2021-10-19,1,"3,634"
2021-10-20,1,"3,228"
2021-10-21,1,"3,339"
2021-10-22,1,"3,290"
2021-10-25,1,"3,175"
2021-10-26,1,"3,825"
2021-10-27,1,"3,209"
2021-10-28,1,"3,158"
2021-10-29,1,"3,069"
2021-11-01,1,"2,825"
2021-11-02,1,"3,895"
2021-11-03,1,"3,156"
2021-11-04,1,"3,337"
2021-11-05,1,"3,284"
2021-11-07,1,0
2021-11-08,1,"3,796"
2021-11-09,1,"3,526"
2021-11-10,1,"3,928"
2021-11-11,1,"3,420"
2021-11-12,1,"3,070"
2021-11-13,1,221
2021-11-15,1,"3,422"
2021-11-16,1,"4,039"
2021-11-17,1,"3,789"
2021-11-18,1,"3,566"
2021-11-19,1,"3,569"
2021-11-20,1,382
2021-11-22,1,"4,028"
2021-11-23,1,"4,136"
2021-11-24,1,"4,607"
2021-11-25,1,"4,336"
2021-11-26,1,"4,079"
2021-11-27,1,857
2021-11-28,1,97
2021-11-29,1,"4,949"
2021-11-30,1,"5,588"
2021-12-01,1,"5,064"
2021-12-02,1,"5,086"
2021-12-03,1,"4,915"
2021-12-04,1,908
2021-12-05,1,386
2021-12-06,1,"4,673"
2021-12-07,1,"4,857"
2021-12-08,1,"3,892"
2021-12-09,1,"3,940"
2021-12-10,1,"3,806"
2021-12-11,1,588
2021-12-12,1,165
2021-12-13,1,"3,922"
2021-12-14,1,"4,276"
2021-12-15,1,"4,008"
2021-12-16,1,"3,487"
2021-12-17,1,"3,289"
2021-12-18,1,123
2021-12-19,1,126
2021-12-20,1,"3,344"
2021-12-21,1,"3,937"
2021-12-22,1,"3,215"
2021-12-23,1,"2,987"
2021-12-24,1,"2,512"
2021-12-28,1,0
2021-12-29,1,"2,894"
2021-12-30,1,"3,214"
2021-12-31,1,"3,578"
2022-01-03,1,0
2022-01-04,1,"2,483"
2022-01-05,1,"3,620"
2022-01-06,1,"3,902"
2022-01-07,1,"3,461"
2022-01-10,1,"3,225"
2022-01-11,1,"3,214"
2022-01-12,1,"3,462"
2022-01-13,1,"2,996"
2022-01-14,1,"3,005"
2022-01-17,1,"1,978"
2022-01-18,1,"1,940"
2022-01-19,1,"3,445"
2022-01-20,1,"3,313"
2022-01-21,1,"3,139"
2022-01-24,1,"3,211"
2022-01-25,1,"3,338"
2022-01-26,1,"3,256"
2022-01-27,1,"2,694"
2022-01-28,1,"2,462"
2022-01-31,1,"3,008"
2022-02-01,1,"3,197"
2022-02-02,1,"2,673"
2022-02-03,1,"2,477"
2022-02-04,1,"2,712"
2022-02-07,1,"2,793"
2022-02-08,1,"2,723"
2022-02-09,1,"2,586"
2022-02-10,1,"2,469"
2022-02-11,1,"2,481"
2022-02-14,1,"2,759"
2022-02-15,1,"2,727"
2022-02-16,1,"2,639"
2022-02-17,1,"2,374"
2022-02-18,1,"1,970"
2022-02-21,1,0
2022-02-22,1,"2,774"
2022-02-23,1,"2,974"
2022-02-24,1,"3,128"
2022-02-25,1,"2,581"
2022-02-28,1,"2,626"
2022-03-01,1,"3,581"
